# _tick,_time,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size,train_seconds
0,1654565032.8133671,5120,-0.11999998241662979,40.159767150878906,63.85969543457031,54.112342834472656,20.45085906982422,-10.70350456237793,32,5.0
1,1654565034.207335,7680,-0.7499995827674866,40.38125228881836,5.863616943359375,6.691514015197754,7.862482070922852,-8.69037914276123,32,5.0
2,1654565036.9726667,12800,-0.019999999552965164,45.409767150878906,80.82321166992188,58.143821716308594,31.522165298461914,-8.842769622802734,32,5.0
3,1654565038.3488522,15360,-0.4199998676776886,64.4722671508789,-38.72299575805664,-34.55760192871094,3.441843271255493,-7.607235908508301,32,10.1
4,1654565041.3762634,20480,-1.06999933719635,98.3285140991211,6.137490749359131,7.554965972900391,6.0917768478393555,-7.509252071380615,32,10.1
5,1654565044.183487,25600,-0.6099997162818909,90.0640640258789,2.415654182434082,4.973492622375488,6.186445236206055,-8.744283676147461,32,15.1
6,1654565052.882812,40960,-0.9199994206428528,147.15977478027344,-14.640115737915039,-12.952064514160156,7.402822971343994,-9.090873718261719,32,25.2
7,1654565150.3149793,217600,-9.140113830566406,832.2562866210938,154.39183044433594,148.34603881835938,16.509553909301758,-10.463760375976562,32,120.3
8,1654565223.1175346,348160,-11.900222778320312,1307.1890869140625,9.9780912399292,14.679888725280762,5.194106101989746,-9.895903587341309,32,195.3
9,1654565228.891983,358400,-12.980201721191406,1372.3203125,7.295993804931641,9.394582748413086,7.859731674194336,-9.958320617675781,32,200.3
10,1654565246.1114564,389120,29.619779586791992,1533.030517578125,370.2401428222656,269.8661804199219,109.81134796142578,-9.437386512756348,32,215.3
11,1654565291.6868222,471040,-21.330392837524414,1743.7222900390625,83.76631927490234,79.22985076904297,13.934331893920898,-9.397865295410156,32,260.4
12,1654565305.7903514,496640,-10.040294647216797,1782.6441650390625,327.138916015625,214.8328857421875,121.51692199707031,-9.21086597442627,32,275.4
13,1654565314.4549842,512000,-15.670309066772461,1990.6937255859375,52.7581787109375,43.94826126098633,17.896427154541016,-9.086507797241211,32,285.4
14,1654565318.692266,519680,-19.930360794067383,1947.7828369140625,27.941028594970703,24.79404067993164,11.661649703979492,-8.514660835266113,32,290.4
15,1654565321.4401789,524800,4.739760398864746,1959.2265625,160.92254638671875,148.53981018066406,21.153705596923828,-8.770970344543457,32,290.4
16,1654565336.9661174,552960,-14.770318984985352,2078.07666015625,3.7464451789855957,5.349192142486572,6.373040199279785,-7.97578763961792,32,305.5
17,1654565355.5585377,586240,-3.20039701461792,2203.157958984375,81.12869262695312,76.20573425292969,12.90686321258545,-7.983898639678955,32,310.5
18,1654565364.0866964,601600,-24.530466079711914,2216.95166015625,-21.919692993164062,-25.455249786376953,10.908905982971191,-7.373350143432617,32,310.5
19,1654565365.5246122,604160,-6.280157089233398,2078.87353515625,488.4698486328125,390.87109375,105.48052978515625,-7.881766319274902,32,310.5
20,1654565374.2892642,619520,-20.910383224487305,2302.081787109375,-88.2218017578125,-84.52227783203125,3.991283893585205,-7.690807819366455,32,310.5
21,1654565375.7469544,622080,43.558265686035156,2277.49462890625,-54.423301696777344,-50.77555847167969,3.824334144592285,-7.472076416015625,32,310.5
22,1654565384.2938797,637440,-21.93040657043457,2153.025146484375,362.8704833984375,186.0345001220703,184.97523498535156,-8.139236450195312,32,310.5
23,1654565394.2937381,655360,-11.840373992919922,2459.16259765625,154.66220092773438,123.93303680419922,38.770294189453125,-8.04114055633545,32,310.5
24,1654565407.239402,678400,-28.200550079345703,2475.2578125,-30.108177185058594,-30.151296615600586,7.681878566741943,-7.638759136199951,32,310.5
25,1654565414.1369455,691200,-12.765480041503906,2441.73828125,433.728759765625,281.18212890625,160.2344512939453,-7.687791347503662,32,310.5
26,1654565425.610734,711680,-12.460371017456055,2405.282958984375,860.4574584960938,556.5422973632812,311.6839599609375,-7.768789291381836,32,310.5
27,1654565437.274693,732160,8.329513549804688,2570.3828125,791.56884765625,365.0753479003906,434.37677001953125,-7.8833112716674805,32,310.5
28,1654565445.8644078,747520,1.1295719146728516,2769.470458984375,351.0386657714844,240.38259887695312,118.693115234375,-8.037036895751953,32,310.5
29,1654565447.3855376,750080,-22.90052032470703,2499.60986328125,-28.59912109375,-29.09032440185547,8.561888694763184,-8.070685386657715,32,310.5
30,1654565459.2128458,770560,-20.19047737121582,2662.25634765625,181.5750274658203,114.64628601074219,74.96311950683594,-8.034381866455078,32,310.5
31,1654565481.949344,811520,86.23776245117188,2846.215576171875,236.146728515625,96.47369384765625,146.14605712890625,-6.473025798797607,32,451.4
32,1654565483.280051,814080,-14.390508651733398,2961.70361328125,379.3628234863281,218.26809692382812,167.21145629882812,-6.116715431213379,32,451.4
33,1654565493.181603,832000,-7.3104448318481445,2960.91259765625,-81.40190124511719,-85.29834747314453,11.076308250427246,-7.179859638214111,32,461.4
34,1654565507.3985336,857600,-26.800518035888672,3054.50634765625,42.3103141784668,-4.462945938110352,53.125335693359375,-6.352076053619385,32,476.4
35,1654565537.2118866,911360,5.449396133422852,3471.566162109375,273.2336120605469,151.991943359375,126.96839904785156,-5.726701259613037,32,506.4
36,1654565538.7111795,913920,3.629432439804077,3296.220458984375,941.130126953125,599.1834716796875,347.9676818847656,-6.020998477935791,32,511.4
37,1654565554.2324142,942080,26.119342803955078,3264.064208984375,-80.37641906738281,-104.34642791748047,29.162673950195312,-5.19266414642334,32,526.4
38,1654565555.6632998,944640,7.049432754516602,3324.118896484375,59.31917190551758,15.980575561523438,48.13374328613281,-4.795147895812988,32,526.4
39,1654565559.8370366,952320,-11.380472183227539,3274.150146484375,52.702308654785156,-3.0501222610473633,60.046775817871094,-4.294343948364258,32,531.4
40,1654565567.19362,965120,-4.3406147956848145,3380.876708984375,44.15438461303711,1.7585763931274414,45.47380065917969,-3.0779900550842285,32,536.4
