# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
0,1654749642.1570656,5.0,5120,-0.11999998241662979,40.32988357543945,-95.77729797363281,-179.3512420654297,105.42428588867188,-21.850343704223633,64
1,1654749643.8146253,5.0,10240,-0.3299999535083771,40.19453048706055,53.948814392089844,51.77954864501953,21.50233268737793,-19.333066940307617,64
2,1654749647.5354354,10.0,20480,-0.23000003397464752,68.98750305175781,26.352941513061523,27.852188110351562,15.828609466552734,-17.327856063842773,64
3,1654749652.9555094,15.5,35840,-2.07999849319458,141.39453125,-26.684850692749023,-13.551057815551758,5.611326694488525,-18.745119094848633,64
4,1654749654.7105236,15.5,40960,-2.0999984741210938,149.3767547607422,45.60955810546875,53.05545425415039,11.768329620361328,-19.214223861694336,64
5,1654749658.0967145,20.5,51200,-1.6099988222122192,193.0486297607422,1.0266399383544922,14.675644874572754,5.619314193725586,-19.268320083618164,64
6,1654749659.6769488,20.5,56320,-3.05999755859375,219.7205047607422,38.763755798339844,51.38202667236328,6.334421634674072,-18.95269203186035,64
7,1654749663.1114488,25.5,66560,-2.699997901916504,272.41876220703125,-26.091190338134766,-13.131608009338379,5.479418754577637,-18.439001083374023,64
8,1654749672.4819076,30.5,92160,-2.077502965927124,334.8984375,63.27566909790039,71.0401611328125,11.489194869995117,-19.25368881225586,64
9,1654749676.2165008,35.5,102400,-2.329998254776001,391.2431640625,-14.124471664428711,0.1345820426940918,4.9467668533325195,-19.205820083618164,64
10,1654749679.9809327,40.5,112640,-2.1266651153564453,438.4045104980469,-1.6036186218261719,16.85800552368164,2.2527241706848145,-20.71434783935547,64
11,1654749681.9472663,40.5,117760,-4.243340492248535,431.7642517089844,0.40264129638671875,17.791549682617188,3.3713033199310303,-20.760211944580078,64
12,1654749684.3933294,45.5,122880,-4.1050286293029785,492.2298889160156,-58.00695037841797,-40.3330192565918,2.363128185272217,-20.037057876586914,64
13,1654749686.2564042,45.5,128000,-4.72001314163208,511.4132995605469,60.029052734375,74.11053466796875,6.034721374511719,-20.1162052154541,64
14,1654749688.707284,50.5,133120,-0.03999999910593033,507.76953125,-76.25611877441406,-58.96274185180664,3.1502909660339355,-20.44367027282715,64
15,1654749690.571643,50.5,138240,-4.0299973487854,509.3955078125,228.5891876220703,215.56365966796875,33.51803970336914,-20.492504119873047,64
16,1654749694.2116885,55.5,148480,-3.2150235176086426,584.3836059570312,20.164379119873047,31.556623458862305,9.539032936096191,-20.931278228759766,64
17,1654749695.9524617,55.5,153600,-4.580009937286377,559.4376831054688,-44.927452087402344,-26.686328887939453,2.688944101333618,-20.930065155029297,64
18,1654749699.4452398,60.5,163840,10.359966278076172,602.6502075195312,-53.77244567871094,-35.193458557128906,2.401437759399414,-20.980422973632812,64
19,1654749701.1394725,60.5,168960,-4.3400044441223145,650.6455078125,139.89028930664062,137.17181396484375,24.008289337158203,-21.28980255126953,64
20,1654749706.2764301,65.5,184320,-8.290094375610352,697.1218872070312,46.731346130371094,64.54662322998047,3.4878311157226562,-21.303110122680664,64
21,1654749709.7374942,70.5,194560,-6.680058002471924,724.1142578125,11.822765350341797,29.75424575805664,3.118738889694214,-21.050220489501953,64
22,1654749711.597082,70.5,199680,-7.120068073272705,733.0185546875,-65.9237060546875,-48.11113357543945,3.1787850856781006,-20.99135398864746,64
23,1654749714.9521978,75.5,209920,-2.010063409805298,752.8048706054688,-38.12189483642578,-19.901260375976562,2.7957639694213867,-21.01639747619629,64
24,1654749716.6699817,75.5,215040,-7.200069904327393,800.7351684570312,-33.20338821411133,-15.132711410522461,2.1891651153564453,-20.259841918945312,64
25,1654749720.3180335,80.5,225280,-7.60007905960083,819.78515625,115.27395629882812,129.18588256835938,6.957772254943848,-20.869707107543945,64
26,1654749722.2208552,80.5,230400,-8.093453407287598,858.3078002929688,132.21246337890625,142.5667724609375,10.409749984741211,-20.764047622680664,64
27,1654749724.081456,85.5,235520,-5.7900800704956055,856.0346069335938,-44.74238967895508,-28.298965454101562,4.401256561279297,-20.844680786132812,64
28,1654749725.8402207,85.5,240640,-7.880085468292236,886.92578125,-72.35340881347656,-53.67843246459961,2.0194339752197266,-20.69441032409668,64
